time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,OMCCL_nOK_0001,localidade_id_MSRPMPX_1531,localidade_id_MSRPFDI_1531,RPDOU_SColTempo_0001_delta_tempo,OMCCL_SColTempo_0001_delta_tempo,chamados_MSRPDOU,OMCCL_SColTempo_0004_delta_tempo,chamados_MSOMRCB,localidade_id_MSRPNOQ_1523,chamados_MSRPAMB,localidade_id_MSRPNOQ_1526,chamados_MSRPAMO,ref_Periodo,RPFDIxRPMPX_ativado,OMCGR_SColTempo_0003_delta_tempo,chamados_MSOMCGR,OMCCLxRPATJ_ativado,RPNAS_SColTempo_0002_delta_tempo,OMGUA_SColTempo_0001_delta_tempo,ref_2018_07,ref_2018_06,chamados_MSRPAMO1,chamados_MSRPTRN,OMCGR_SColTempo_0001_delta_tempo,chamados_MSOMIGT,OMIGT_SColTempo_0001_delta_tempo,localidade_id_MSOMNOQ_1526,chamados_MSRPATJ,RPMPX_nOK_0003,chamados_MSRPMMA,localidade_id_MSRPDOU_1531,RPMRDxRPFGR_ativado,localidade_id_MSRPTCU_1531,localidade_id_MSRPNOQ_1531,chamados_MSOMJRD,ref_2018_07_06,ref_2018_07_07,ref_2018_07_04,ref_2018_07_05,ref_2018_07_02,ref_2018_07_03,RPAMO1_SColTempo_0003_delta_tempo,RPJRD_nOK_0001,OMBLV_SColTempo_0001_delta_tempo,RPMMA_SColTempo_0003_delta_tempo,ref_2018_07_08,ref_2018_07_09,RPAMBxRPTCU_ativado,localidade_id_MSRPNVL_1531,OMRCB_SColTempo_0003_delta_tempo,localidade_id_MSOMDOU_1531,RPFDI_SColTempo_0002_delta_tempo,localidade_id_MSOMNOQ_1531,OMCGR_SColTempo_0002_delta_tempo,OMJRD_nOK_0002,chamados_MSOMNOQ,chamados_MSRPPPR,localidade_id_MSRPPPR_1531,localidade_id_MSOMCGR_1531,localidade_id_MSRPAMO_1531,RPMPX_SColTempo_0002_delta_tempo,RPAMB_SColTempo_0002_delta_tempo,RPNASxRPRBR_ativado,RPPPR_nOK_0004,ref_2018_07_15,ref_2018_07_14,ref_2018_07_17,RPCGR_SColTempo_0002_delta_tempo,ref_2018_07_11,ref_2018_07_10,ref_2018_07_13,ref_2018_07_12,ref_2018_06_30,RPNOQ_SColTempo_0002_delta_tempo,RPNAS1_SColTempo_0002_delta_tempo,ref_2018_07_19,ref_2018_07_18,localidade_id_MSOMIGT_1531,OMCGR_nOK_0002,OMBLV_SColTempo_0002_delta_tempo,RPPPR_SColTempo_0001_delta_tempo,chamados_MSRPMPX,RPRBR_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,ref_2018_07_30,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPAMO_SColTempo_0002_delta_tempo,RPNVL_SColTempo_0002_delta_tempo,OMJRD_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,localidade_id_MSOMMNO_1531,RPFDI_SColTempo_0001_delta_tempo,RPNAS_SColTempo_0001_delta_tempo,chamados_MSOMDOU,ref_2018_06_27,ref_2018_06_26,ref_2018_06_25,ref_2018_07_23,ref_2018_07_24,localidade_id_MSOMRCB_1531,ref_2018_07_26,Chamados_Desconto,ref_2018_07_28,ref_2018_07_29,RPBND_SColTempo_0003_delta_tempo,ref_2018_06_29,ref_2018_06_28,RPAMB_SColTempo_0001_delta_tempo,localidade_id_MSRPMMA_1531,ref_2018_08_01,RPAMOxRPAMB_ativado,chamados_MSOMBLV,OMMNO_SColTempo_0001_delta_tempo,chamados_MSOMCCL,RPNVL_SColTempo_0003_delta_tempo,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,ref_2018_07_31,chamados_MSRPNAS1,localidade_id_PROMGUA_1531,localidade_id_MSOMJRD_1523,RPRBRxRPDOU_ativado,RPDOU_SColTempo_0002_delta_tempo,localidade_id_MSOMJRD_1526,OMCGRxOMRCB_ativado,OMIGT_SColTempo_0002_delta_tempo,RPCGRxRPNAS1_ativado,localidade_id_MSOMCARC_1531,RPMPXxRPSPE_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,OMDOU_SColTempo_0002_delta_tempo,localidade_id_MSRPSPE_1526,RPFDI_nOK_0001,chamados_MSRPNOQ,OMAMB_SColTempo_0001_delta_tempo,RPPPR_SColTempo_0004_delta_tempo,RPTRN_SColTempo_0001_delta_tempo,ref_2018_07_22,OMMNO_SColTempo_0002_delta_tempo,ref_2018_08,RPPPR_SColTempo_0002_delta_tempo,ref_2018_07_25,RPTRN_SColTempo_0002_delta_tempo,OMDOU_SColTempo_0001_delta_tempo,localidade_id_MSOMJRD_1531,chamados_PROMGUA,ref_2018_07_27,localidade_id_MSRPCGR_1531,RPTCU_SColTempo_0003_delta_tempo,localidade_id_MSRPNAS_1531,ref_2018_08_05,chamados_MSRPCGR,ref_2018_08_03,ref_2018_08_02,localidade_id_MSRPSPE_1531,localidade_id_MSRPMPX_1542,RPNOQ_nOK_0001,RPMMA_SColTempo_0001_delta_tempo,RPSPE_SColTempo_0001_delta_tempo,chamados_MSRPSPE,RPAMB_SColTempo_0003_delta_tempo,ref_2018_07_01,localidade_id_MSOMCCL_1531,localidade_id_MSRPNAS1_1531,RPNAS1_nOK_0002,chamados_MSOMCARC,localidade_id_MSOMBLV_1531,RPTCU_SColTempo_0001_delta_tempo,RPNAS1_SColTempo_0001_delta_tempo,chamados_MSOMMNO,RPAMO_SColTempo_0001_delta_tempo,RPNOQ_SColTempo_0003_delta_tempo,RPATJ_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMO1_SColTempo_0001_delta_tempo,RPAMBxOMAMB_ativado,localidade_id_MSRPATJ_1531,OMPPR_SColTempo_0002_delta_tempo,RPSPExRPNOQ_ativado,OMIGTxOMMNO_ativado,RPMPX_SColTempo_0001_delta_tempo,chamados_MSRPFDI,localidade_id_MSRPNVL_1543,OMCGRxRPNVL_ativado,RPNOQ_SColTempo_0001_delta_tempo,RPMMA_nOK_0002,ref_2018_08_04,RPJRD_nOK_0002,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,chamados_MSRPNVL,ref_2018_07_16,RPMRDxOMAQD_ativado,RPSPE_nOK_0001,RPPPR_SColTempo_0003_delta_tempo,chamados_MSRPTCU,RPSPE_SColTempo_0002_delta_tempo,RPRBR_SColTempo_0001_delta_tempo,RPJRDxRPMMA_ativado,RPNVL_SColTempo_0001_delta_tempo,RPNOQxOMJRD_ativado,chamados_MSRPNAS,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,ref_2018_07_20,localidade_id_MSRPTRN_1531,localidade_id_MSRPAMO1_1531,OMCARC_SColTempo_0003_delta_tempo,ref_2018_07_21,localidade_id_MSRPAMB_1531,OMNOQ_SColTempo_0003_delta_tempo
"2018-06-30 01:22:28","2018-06-30 01:22:53",25.0,1.35951239402E-06, , , , , , , , , , , , , ,1,1,1371, ,1, , , ,1, , ,1371, , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , ,1371, , , , , , , , ,1, , , , , , , , , ,1, ,1371, , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1371, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , , 
"2018-06-30 01:22:53","2018-06-30 01:22:56",3.0,1.63141487283E-07, , , , , , , , , , , , , ,1,1, , ,1, , , ,1, , , , , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,1, ,1371, , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1371, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , , 
"2018-06-30 01:22:56","2018-06-30 16:38:52",54956.0,0.00298853452503, , , , , , , , , , , , , ,1,1, , ,1, , , ,1, , , , , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , , 
"2018-06-30 16:38:52","2018-06-30 16:38:56",4.0,2.17521983044E-07, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , , 
"2018-06-30 16:38:56","2018-06-30 16:39:05",9.0,4.89424461848E-07, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , , 
"2018-06-30 16:39:05","2018-06-30 16:39:06",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , , , , , ,1, , , , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , , , , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , ,5100
"2018-06-30 16:39:06","2018-06-30 16:39:10",4.0,2.17521983044E-07, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1, ,1, ,1,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , ,5100
"2018-06-30 16:39:10","2018-06-30 16:39:11",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, , ,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , ,5100
"2018-06-30 16:39:11","2018-06-30 16:39:14",3.0,1.63141487283E-07, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , , , , ,5100
"2018-06-30 16:39:14","2018-06-30 16:39:15",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, , , , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:15","2018-06-30 16:39:16",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , , ,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , , ,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:16","2018-06-30 16:39:17",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , ,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:17","2018-06-30 16:39:18",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100, , , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , ,5069, , , , , , , , , , , , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , ,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:18","2018-06-30 16:39:19",1.0,5.43804957609E-08, , , , , , , , , , , , , ,1,1,5100, ,1, , , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , ,5069, , , , , , , , ,5100, , , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , ,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:19","2018-06-30 16:39:20",1.0,5.43804957609E-08, , , , , ,5070, ,5070, , , , , ,1,1,5100, ,1, , , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , ,5069, , , , , , , , ,5100, , , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , , ,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:20","2018-06-30 16:39:23",3.0,1.63141487283E-07, , , , , ,5070, ,5070, , , , , ,1,1,5100, ,1,5100, , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , ,5100, , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1, , , , , ,5100, , , , , , , , , , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:23","2018-06-30 16:39:24",1.0,5.43804957609E-08, , , , , ,5070, ,5070, , , , , ,1,1,5100, ,1,5100, , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , , , ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , ,5100, , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1,5070, , , , ,5100, , , , , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1, , , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:24","2018-06-30 16:39:25",1.0,5.43804957609E-08, , , , , ,5070, ,5070, , , , , ,1,1,5100, ,1,5100, , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , ,5069, ,1, , , , , , , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , ,5100, , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1,5070, , , , ,5100, , , , , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:25","2018-06-30 16:39:27",2.0,1.08760991522E-07, , , , , ,5070, ,5070, , , , , ,1,1,5100, ,1,5100, , ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , ,5069, ,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , ,5100, , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, , , , ,1, , ,1,5074,1, ,1,,1,5070, , , , ,5100, , , , , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:27","2018-06-30 16:39:28",1.0,5.43804957609E-08, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, , , ,5100, , , , , , ,5069, ,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, , ,5100, , , , , , , , , , , , , , , , , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , , ,5100, , ,5063, , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:28","2018-06-30 16:39:31",3.0,1.63141487283E-07, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , , , ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069, ,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, ,5067,5100, , , , , , , , , , , , , , , , , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , , ,5100, , ,5063, , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1, ,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:31","2018-06-30 16:39:32",1.0,5.43804957609E-08, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069, ,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, ,5067,5100, , , , , , , , , , , , , , , , , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100, , ,5063, , , , ,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:32","2018-06-30 16:39:35",3.0,1.63141487283E-07, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069, ,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1, , , , ,1,1,,1, ,5067,5100, , , , , , , , , , , , , , , , , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100,5060, ,5063, , , ,5060,5070, , , , ,5069, , , , , , , , ,5100,5069, , , , , , , , ,5069,5100, , , , ,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:35","2018-06-30 16:39:36",1.0,5.43804957609E-08, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069,5064,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1,5070, , , ,1,1,,1, ,5067,5100, , , , , , , , , , , , , , ,5063, , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100,5060, ,5063, , , ,5060,5070, , , , ,5069, , , , , , , , ,5100,5069, ,5065, , , , , , ,5069,5100, , , ,5070,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,, ,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:36","2018-06-30 16:39:38",2.0,1.08760991522E-07, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069,5064,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1,5070, ,5055, ,1,1,,1, ,5067,5100, , , , , , , , , , , , , , ,5063, , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100,5060, ,5063, , , ,5060,5070, , , , ,5069, , , , , , , , ,5100,5069, ,5065, , , , , , ,5069,5100, , , ,5070,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,,5055,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:38","2018-06-30 16:39:41",3.0,1.63141487283E-07, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069,5064,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1,5070, ,5055,5057,1,1,,1, ,5067,5100, , , , , , , , , , , , , , ,5063, , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100,5060, ,5063, , , ,5060,5070, , , , ,5069, , , , , , , , ,5100,5069, ,5065, , , , , , ,5069,5100, , , ,5070,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,,5055,1, ,1,1,1, , , ,5100, , ,5100
"2018-06-30 16:39:41","2018-06-30 16:39:45",4.0,2.17521983044E-07, , , , ,5070,5070, ,5070, , , , , ,1,1,5100, ,1,5100,5068, ,1, , ,5100, ,5069, , , , , ,, , , , , , , , , ,5059, ,5100,5100, , ,1, ,5100, ,5067, ,5100, , , , , , ,5069,5064,1, , , , ,5099, , , , ,1, ,5100, , , , ,5100, , ,5100,, ,1,1,5070,5040,5055,5057,1,1,,1, ,5067,5100, , , , , , , , , , , , , , ,5063, , ,1, ,5063, , ,1,1,1,1, , , , ,1,5070, ,1,5074,1, ,1,,1,5070, , , ,5069,5100,5060, ,5063, , , ,5060,5070, , , , ,5069, , , , , , , , ,5100,5069, ,5065, , , , , , ,5069,5100, ,5040, ,5070,1,5059,1, ,5100,1,1,5069, , ,1, , , , ,1,1, , ,, , , ,5069,5100,,5055,1, ,1,1,1, , , ,5100, , ,5100
